4000 1000
16136 8 0
3306 3 0
40544 8 0
2749 1 0
13210 10 0
7034 2 0
54404 7 0
47744 8 0
45955 7 1
28808 8 0
14680 8 0
13539 3 0
43715 7 0
4221 9 0
33498 9 0
5383 1 0
27648 6 0
2502 3 0
20916 3 0
5526 3 0
9142 7 1
8356 1 1
28024 4 0
56588 7 0
18860 4 0
56728 7 0
35220 10 1
42280 10 0
47397 7 0
27307 7 0
31376 8 0
33210 6 0
7310 5 0
71150 10 0
3121 1 0
50280 10 0
17920 2 0
9471 3 0
21532 7 1
2512 2 0
29490 5 0
3440 2 0
41244 7 0
29056 4 0
9984 8 0
17636 4 0
21042 6 0
4152 6 0
28530 6 0
2090 2 0
15120 6 0
3879 1 1
23322 3 0
37620 9 0
9219 3 0
65800 10 0
17232 3 0
3220 10 0
26971 7 1
3017 1 0
3129 7 0
38720 5 0
44576 8 0
7224 3 0
3870 6 0
7641 3 0
5634 6 0
18840 4 1
20808 4 0
25380 6 0
4373 1 0
31509 9 0
20120 10 0
785 1 0
8440 5 0
3425 1 0
15510 3 0
48664 7 0
13776 4 0
82410 10 0
60136 8 0
3152 8 0
8292 6 0
6406 1 0
3402 7 0
25128 3 0
24663 3 0
21215 5 0
6480 4 0
7810 2 0
14160 3 0
13016 8 0
7677 1 0
18328 8 0
5652 4 0
17230 2 0
14556 6 0
10255 7 0
22473 9 0
14440 4 0
3148 2 0
31302 6 0
10779 3 0
60904 8 0
74520 9 0
17710 2 0
32312 7 0
42516 6 0
17808 3 0
2805 3 0
32650 10 0
12472 8 0
30140 5 0
25080 5 0
7527 3 0
15128 2 0
2634 3 0
2577 3 0
5356 1 0
30920 10 0
52170 10 0
87040 10 0
3940 2 0
9730 5 0
21468 4 0
4434 1 0
23408 4 0
22026 6 0
12552 3 0
35880 6 0
20988 6 0
12930 3 0
20300 7 0
22330 7 0
25652 4 0
11200 7 0
4530 1 0
60424 8 0
44991 9 0
4191 1 0
27660 4 0
29133 9 0
9872 4 0
51688 8 0
76464 9 0
6136 4 0
26535 3 0
17630 5 0
4049 1 0
27477 9 0
51342 6 0
27776 8 0
55490 10 0
33780 5 0
65340 10 0
57000 10 0
42920 5 0
5420 10 0
7122 1 0
51633 9 1
32781 7 0
17480 10 0
22270 5 0
44050 10 0
36592 8 0
8393 7 0
62356 7 0
50967 7 0
47383 7 0
3245 5 0
71586 9 0
30860 5 0
38346 6 0
49040 8 0
57040 8 0
41360 8 0
30880 10 0
73810 10 0
15712 4 0
12138 7 0
14616 4 0
50328 9 0
11092 2 0
18802 7 1
27744 6 0
24262 7 0
8779 1 0
3231 1 0
48704 8 0
16184 2 0
25590 10 0
26630 5 0
10882 2 0
4665 3 0
28850 10 0
7120 5 0
43379 7 0
65192 8 1
8309 7 0
33825 5 0
20394 9 0
13937 7 0
2574 2 0
37674 7 0
18696 3 1
28845 5 0
19593 3 0
30684 6 0
57592 8 0
49992 8 0
5096 7 0
28511 7 1
14246 2 0
14682 3 0
10056 2 0
2920 1 0
27792 4 0
40376 8 0
32860 5 0
31650 6 0
25005 3 0
7548 6 0
46718 7 0
74700 10 0
17463 3 0
38269 7 0
35370 10 0
10396 4 0
36296 8 1
5367 3 1
10476 9 0
3120 1 0
23427 9 0
15536 2 0
565 1 0
918 3 0
11144 7 0
34865 5 0
7434 7 0
51264 9 0
34758 6 0
17144 2 0
53904 8 0
14496 6 0
23352 6 0
2200 8 0
32016 6 0
20864 4 0
17660 5 0
40575 5 0
14286 2 0
4275 5 0
23528 4 0
26764 4 0
7374 1 0
776 2 0
6642 3 0
5782 1 0
12132 9 0
12678 3 0
48285 9 0
6528 8 0
38370 5 1
60160 8 0
3040 1 0
4120 8 0
19149 3 0
9495 3 0
16554 3 0
2365 1 0
32012 4 0
36228 6 1
24054 3 0
2214 9 0
38360 7 0
58933 7 0
24444 3 0
13854 2 0
53346 6 0
2985 3 0
16086 3 0
19768 8 0
8540 10 0
5916 2 0
5451 3 0
2452 1 0
80793 9 0
3450 1 0
31830 10 0
78970 10 0
15678 6 0
24534 3 0
23177 7 1
48726 6 0
10668 6 0
59390 10 1
42168 7 0
1171 1 0
17187 3 0
60050 10 0
38318 7 0
23034 6 0
23715 3 0
39180 10 0
26845 5 0
38370 5 0
28564 4 0
1303 1 0
60081 7 0
20235 3 0
9576 8 0
52460 10 0
3833 1 0
7370 2 0
32648 7 0
44390 10 0
10140 5 0
25086 6 0
43890 6 0
9597 3 0
38214 6 0
16530 5 0
21369 3 0
729 3 0
52310 10 0
37806 6 0
38555 5 0
46611 9 0
48064 8 0
46424 8 1
15480 2 1
4530 10 0
46235 7 0
10300 4 0
5442 3 0
16936 8 0
2242 2 0
42315 5 0
30828 4 0
65862 9 0
17080 2 0
4215 3 0
40944 6 0
42707 7 0
4025 5 0
8860 4 0
6832 8 0
25432 4 0
37740 5 0
47852 7 0
71600 8 0
62580 10 0
12825 5 0
7110 3 0
76200 10 0
36555 5 0
1584 2 0
13692 3 0
23796 9 0
78410 10 0
27640 5 0
21335 5 0
11340 9 0
21204 6 0
1058 2 1
11580 4 1
43055 5 0
23690 5 0
77580 9 0
5854 2 0
35976 4 0
10887 3 0
28610 5 0
24390 3 0
71433 9 0
7686 2 0
38752 8 0
2674 1 0
3105 3 0
40392 8 0
8107 1 0
62916 7 0
17234 2 0
7307 1 0
79290 9 0
9018 3 0
14352 6 1
5967 9 0
3196 4 0
61890 10 0
13912 8 0
35586 6 0
47523 7 0
20252 4 0
4014 2 0
55489 7 0
28285 5 1
44352 9 0
1825 1 0
27265 7 0
55741 7 0
1284 2 0
38862 9 0
14240 10 0
40140 5 0
1792 7 0
8565 3 0
8580 2 0
52296 8 0
30204 9 0
5634 6 1
62140 10 0
52930 10 0
33759 9 0
20676 4 0
11560 10 0
4445 7 0
47800 10 0
76790 10 0
62622 9 0
8468 1 0
25110 5 0
2746 2 0
31525 5 0
3051 9 0
9549 3 0
27788 4 0
72576 9 0
40074 6 0
22524 6 0
26019 9 0
22390 10 0
24084 3 0
12224 8 0
9501 3 0
5520 3 0
25375 5 0
52812 6 1
85660 10 0
10134 9 0
25040 5 0
19348 7 0
499 1 0
58194 9 0
9420 4 0
24288 3 0
28986 6 0
58059 9 0
35105 5 0
53352 9 0
18720 8 0
85760 10 0
71184 8 0
8540 2 0
7062 3 0
14976 3 0
55928 8 1
61731 9 1
3564 4 1
37790 5 0
9144 9 0
3897 3 0
8410 10 0
21917 7 0
8228 1 0
75708 9 0
13300 10 0
6088 1 0
39816 9 0
78980 10 0
17860 5 0
42990 10 0
39424 7 0
10196 4 0
25820 10 0
8616 4 0
19875 5 0
34212 6 0
47430 6 0
28280 10 0
13344 2 0
32592 6 0
31257 9 0
51984 8 0
45582 6 0
25074 9 0
32485 5 0
42448 8 1
24896 4 0
1092 3 0
6301 1 0
18828 3 0
52150 10 0
32640 8 0
16990 2 0
26253 9 0
79353 9 0
4180 4 0
28145 5 1
1925 1 0
4438 7 0
36545 5 0
8848 4 0
8346 3 0
19168 4 1
16038 6 0
13590 10 0
54432 9 0
21620 10 0
1168 4 0
7210 5 1
28536 8 0
13512 6 0
7608 4 0
6053 1 0
21366 9 0
14252 4 1
52458 6 0
35892 9 1
24840 3 0
22148 7 0
6416 8 0
6012 4 0
55701 9 0
17601 3 1
25825 5 0
1281 1 0
44478 6 0
5862 1 0
14055 5 0
29860 5 1
56934 9 0
46062 9 0
46740 10 0
4590 6 0
7256 2 0
1878 6 0
5456 2 0
61155 9 0
63540 9 0
1362 2 0
1818 2 0
23802 3 0
48670 10 0
3575 1 0
73503 9 0
16998 2 0
3524 1 1
4911 3 0
35356 4 0
3666 3 0
18546 6 1
38367 7 0
4582 1 0
34762 7 0
73476 9 0
6447 3 0
5100 1 0
2117 1 0
906 1 0
37755 5 0
24339 3 0
5172 4 0
47232 8 0
7387 1 0
4747 1 0
4280 8 0
20838 6 0
61136 8 0
19296 9 0
1716 4 0
15638 2 0
21480 10 0
1188 3 0
34780 5 0
3318 7 0
3717 1 0
9144 2 0
2672 2 0
21580 10 0
5076 6 0
15114 3 1
23920 10 0
42348 6 0
19812 3 0
5796 3 0
3624 6 1
67510 10 0
41688 6 0
27524 4 0
15867 9 0
15856 2 0
5988 1 0
4672 1 0
40200 6 0
14805 9 0
2306 2 0
78690 10 0
35810 5 0
3468 3 0
31188 4 0
70407 9 1
27369 9 0
3185 1 0
6849 9 0
25131 3 0
23964 4 0
4988 2 0
8287 1 0
25359 3 0
19936 7 0
3829 1 0
65848 8 0
33010 5 0
22570 10 1
59920 8 0
15325 5 0
15852 3 0
4155 3 0
15662 2 0
15156 9 0
68679 9 1
51498 9 0
24080 10 0
9438 3 0
58428 9 0
10826 2 0
77340 10 0
39496 8 0
65230 10 0
10472 8 0
14961 3 0
80082 9 0
6730 2 0
11444 4 0
714 1 0
55336 8 0
32994 9 0
6565 5 0
25104 3 0
20755 5 0
9594 6 0
16008 6 0
43510 10 0
19420 4 0
18774 6 0
2262 6 0
6258 6 0
74187 9 0
34155 5 1
34272 6 1
17717 7 0
11920 5 0
9660 2 0
6880 5 0
36027 9 0
22528 8 0
32370 6 0
15195 3 0
39168 9 0
7110 6 0
1179 3 0
34680 10 0
18389 7 0
11610 2 0
47508 6 0
12868 2 0
8216 1 0
12747 7 0
17790 6 0
16086 2 0
9104 4 0
7035 3 0
37824 8 0
3995 5 0
39944 8 0
4896 8 0
15610 7 0
8902 2 0
23980 5 0
13850 2 0
45400 10 0
24520 5 0
15830 10 0
26712 3 0
52656 6 0
32112 9 0
13692 7 0
50960 10 0
8172 1 0
7022 2 0
80460 10 0
76090 10 0
7048 2 0
17014 2 0
50141 7 0
52600 8 0
39968 8 0
4680 5 0
9744 6 1
42500 5 0
13467 3 0
46467 9 0
2028 6 1
4418 1 0
10896 6 0
21616 8 0
10296 3 0
4716 2 0
1149 3 0
7182 3 0
18504 8 1
37920 5 0
26308 4 0
23103 9 0
36190 5 0
56300 10 0
22914 3 0
962 2 0
14934 6 0
6860 4 0
69700 10 0
2756 4 0
33440 8 0
6862 1 0
67833 9 0
69680 10 0
12388 4 0
40540 10 0
11766 3 0
42795 5 0
12909 3 0
35390 10 0
71670 10 0
65178 9 0
32767 7 0
1809 3 0
8320 4 0
46788 6 0
80145 9 0
9210 2 0
69520 8 0
59418 9 0
33144 4 0
7960 8 0
33720 8 0
26900 10 0
324 1 0
7735 7 0
4341 1 1
30612 4 0
42270 10 0
47190 6 0
2009 7 0
71271 9 0
34200 9 0
14852 2 0
27944 7 0
23576 8 0
20945 5 0
14910 2 0
3840 1 0
4653 3 1
79240 10 0
4416 1 1
1868 2 0
19236 4 0
2988 9 0
3539 1 0
74690 10 0
42340 10 0
23715 5 0
30372 6 0
41104 7 0
20776 4 0
16088 2 0
3581 1 0
7520 8 0
3875 1 0
7231 1 0
5953 1 0
1448 1 0
38052 6 0
8472 4 0
11475 3 0
5733 9 0
17655 5 0
40152 7 0
7308 3 0
33300 9 0
3116 4 0
48402 6 0
5162 1 0
76509 9 0
832 1 0
11501 7 0
47748 6 0
2712 6 0
19885 5 0
11106 3 0
48600 6 0
75750 10 0
7188 4 0
27890 10 0
61659 9 0
7378 2 0
27369 9 0
20742 6 0
17135 5 0
2570 10 0
19557 3 0
17294 2 0
18112 4 0
1578 3 0
13255 5 0
1338 3 0
14655 3 0
14802 2 0
59280 8 0
1380 3 0
8613 3 0
37121 7 0
23425 5 0
66112 8 1
25280 5 0
2826 9 0
23916 3 0
19278 7 0
24368 4 0
10084 2 0
7848 9 0
1268 2 0
7442 2 0
28196 7 0
38885 5 1
15826 2 0
55825 7 0
61586 7 0
49662 6 0
15804 9 0
46865 7 0
34345 5 0
26900 5 0
24570 3 0
9877 7 0
27480 5 0
13900 4 0
15146 2 0
6405 7 0
18936 4 0
22050 10 0
78320 10 0
24688 8 1
32967 9 0
44499 7 0
20922 6 0
29620 5 0
4494 3 0
4230 6 0
34940 4 1
23571 9 0
26487 9 0
35040 8 0
65184 8 0
71064 9 0
12638 2 0
36830 5 0
2860 1 0
8520 1 0
25620 7 0
50391 9 0
20781 9 1
4368 6 0
7917 3 0
31446 6 0
66750 10 0
7981 1 0
23535 9 0
11206 2 0
2164 4 0
16806 6 0
16988 4 0
59913 7 0
46962 9 0
85550 10 0
51975 7 0
78550 10 0
50136 8 0
12635 7 0
51114 7 0
71448 8 0
22065 3 0
44615 5 0
40896 6 0
34643 7 0
36200 8 0
80960 10 0
33016 8 0
9960 6 0
1326 2 0
4034 2 0
36400 10 0
2898 7 0
23672 4 0
3378 3 0
1847 1 0
35154 7 0
87450 10 0
78670 10 0
30720 10 0
34097 7 0
5469 3 0
87960 10 0
58230 9 0
3116 2 0
70530 10 0
10900 4 0
3957 3 0
24104 8 0
22105 5 0
28590 10 0
30645 9 0
6600 2 0
6616 4 1
20124 9 1
2285 1 0
32310 6 1
12040 8 0
71694 9 0
4448 8 0
9738 2 0
59656 8 0
1427 1 0
6368 1 0
3047 1 0
43032 6 0
8168 2 0
14472 6 0
63040 8 0
15528 6 1
718 1 0
13082 2 0
16040 4 0
31892 4 0
14028 3 1
46260 9 0
21387 3 0
5727 1 0
49938 7 0
7548 4 0
15316 7 0
15862 2 0
46298 7 0
42798 7 0
7440 3 0
5103 9 0
24852 3 0
22844 4 1
46634 7 0
22816 4 0
43757 7 0
49650 6 0
21765 3 0
32000 8 0
46542 6 0
24594 6 0
3985 5 1
14850 2 0
37980 10 0
10654 7 0
5322 3 0
15248 4 0
21044 4 0
44800 5 0
9984 3 0
26028 9 0
26776 8 0
36255 5 0
14106 6 0
26820 3 1
16928 2 0
5157 1 0
25545 5 0
2186 1 0
11210 10 0
1008 1 0
7242 6 0
2655 1 0
4956 7 0
13191 3 0
45924 6 0
18096 8 0
4090 5 0
26316 6 0
7898 2 0
13062 7 0
12384 3 0
51444 6 0
19308 6 0
3265 5 0
